"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 12 16:03:14 EET 2023","Sun Mar 12 16:03:24 EET 2023","9891","","","","","","Search specific juice and buy",""
"passed","Sun Mar 12 16:02:45 EET 2023","Sun Mar 12 16:02:48 EET 2023","2808","","","","","","Registration with already registered email address",""
"passed","Sun Mar 12 16:02:42 EET 2023","Sun Mar 12 16:02:45 EET 2023","3487","","","","","","Successful registration",""
"passed","Sun Mar 12 16:02:55 EET 2023","Sun Mar 12 16:02:57 EET 2023","1958","","","","","","Login with unregistered user",""
"passed","Sun Mar 12 16:02:57 EET 2023","Sun Mar 12 16:03:00 EET 2023","2356","","","","","","Login with registered user using invalid email",""
"passed","Sun Mar 12 16:03:34 EET 2023","Sun Mar 12 16:03:38 EET 2023","3971","","","","","","Send feedback",""
"passed","Sun Mar 12 16:03:02 EET 2023","Sun Mar 12 16:03:05 EET 2023","2694","","","","","","Headless login",""
"passed","Sun Mar 12 16:02:24 EET 2023","Sun Mar 12 16:02:34 EET 2023","10269","","","","","","Buy juice",""
"passed","Sun Mar 12 16:03:00 EET 2023","Sun Mar 12 16:03:02 EET 2023","2460","","","","","","Login with registered user using invalid password",""
"passed","Sun Mar 12 16:02:51 EET 2023","Sun Mar 12 16:02:55 EET 2023","4244","","","","","","Login with valid user",""
"passed","Sun Mar 12 16:02:48 EET 2023","Sun Mar 12 16:02:51 EET 2023","2851","","","","","","Registration entering not matching passwords",""
